Gene,Weight
PLP1,0.011930892560319468
GFAP,0.0088349615361412
RMRP,0.006907769222630692
CDR1,0.004093994186942916
TF,0.0028124877645883876
RAB9B,0.0023268525802270785
AQP4,0.0019246734897973858
CRYAB,0.0019077854964257169
TUBA1A,0.001644430244462989
ATP1B1,0.0016213261759136521
HSPA8,0.0013626045632720936
CLU,0.0013565501967450588
XIST,0.0011922457182079003
APLP1,0.0011739969739345386
CHN1,0.0011055004516086202
ENPP2,0.0009916934857597873
PSAP,0.0009767924050327567
NSF,0.0009137361107439517
ATRNL1,0.0009120945326109398
MT1G,0.0009053585137102881
DPYSL2,0.0008638445400406009
DBNDD2,0.0008486913346208212
SCD,0.0008429448306701959
SEPP1,0.0008279023971271271
MAP1B,0.0007743077850334426
MAG,0.0007548849734671571
EDIL3,0.0007534071925271949
NEFL,0.0007473869323189849
S100B,0.0007048047793899183
SNURF,0.0006249530182821738
HIST1H4E,0.0006091829919747599
SLC44A1,0.000578331173078924
EVI2A,0.0005569461744754034
AHSA1,0.0005515531662514425
TUBA1C,0.0005496144660818517
ATP1A1,0.0005429682703917426
CNP,0.0005420486556332704
SH3GL2,0.0005397951044237288
GPRC5B,0.0005242609254830752
SPOCK3,0.0005080607483984087
TUBA1B,0.0005043248819087541
MDH1,0.0005002679349605444
MT1F,0.0004910653796047476
APP,0.000486334837893647
STMN1,0.00048603127393486925
SERPINI1,0.0004624855665669636
TUBB4,0.00046005612470744996
SOX2OT,0.0004572530736925428
ERMN,0.00045466237533715024
SNAP91,0.00045270569251249854
GLS,0.00044356054018162644
QDPR,0.0004430316524805111
ATP6V0B,0.00043390862423732805
GOT1,0.0004274769779139942
MT2A,0.0004195357776530845
RAB3C,0.00041837219003982966
CLDND1,0.0004174861751997529
RNASE1,0.0004111668895050604
CALY,0.00040887928500872925
STMN4,0.0004035661999293757
STMN2,0.0004019617750714586
ATP5B,0.0003872834646337592
FEZ1,0.0003865457226941955
RAPGEF5,0.0003837160126533916
CLDN11,0.000376055707244867
ANLN,0.0003732297633738871
RNF130,0.0003709544680064093
HSP90AA1,0.00036222157706615113
CCT3,0.00034753094309774506
AQP1,0.00034701203922170325
AARS,0.0003437107039408948
DYNLRB1,0.0003408646719691715
OPALIN,0.000336351033852751
TMEM144,0.0003303160457099591
USMG5,0.0003163026460102236
TUBA4A,0.00031610446526525687
CABP1,0.00031455097119438487
MAL,0.00031379275625921543
YWHAH,0.00030737853457620977
SNRPN,0.00030635651141610465
SLC24A2,0.0002964600475577082
LANCL1,0.0002945293992269987
COX6B1,0.00028938259722790453
CA2,0.00028524426668933157
ATP8A1,0.00028243462135962486
RTN4,0.00027935301369705313
HSPH1,0.00027848194506180775
SNORD116-27,0.0002692495716015159
CCT7,0.00026650219226228005
GRIN1,0.0002649228999274601
CNN3,0.0002638439668205228
CADPS,0.0002630639158555413
VDAC3,0.0002594111785324932
NAPB,0.00025601307093907057
RAB3A,0.0002550957602589443
EIF4A2,0.0002450826369933259
CNTN2,0.00024243773808810672
KIAA1394,0.00024040885860849594
ATP5O,0.00023950967244445342
NDRG3,0.0002331900382255893
APBB1,0.00023312294055589252
KIFAP3,0.0002323723396462252
DNAJA1,0.00022961264301105266
MT1M,0.0002288326033412971
F3,0.00022792190247062074
PFKP,0.00022585471561740057
CNDP1,0.0002240314506253544
INA,0.0002230882342329345
FAM123A,0.00022187588633561592
PPP3CB,0.00022147777284007837
SORL1,0.00021734274920157744
EEF1A2,0.00021678408098741648
UBB,0.000215808371316369
PTOV1,0.000213982750183081
COX7C,0.0002124957308921127
UQCRC1,0.0002108319545550341
SLC25A4,0.00021057499227723306
NAP1L3,0.00021007375580289113
MT1X,0.00020482950080969034
HSPA4,0.00020240148658949233
ISCU,0.0002014167954760737
EFR3A,0.00020091978745921034
MTCH1,0.00019841213374901436
EIF4G2,0.00019669020616489962
C3,0.00019555032788034997
TKT,0.00019410590760369123
PRDX1,0.00019124946133497803
SPOCK1,0.00019083879727331947
CCNI,0.00019063109276463492
GPX4,0.0001901487860750065
PFKFB3,0.00018774305717267107
P2RX7,0.00018112274703099477
CD74,0.00017765221928943385
OXR1,0.0001772681485742321
2-Sep,0.00017373466715118942
ABCA2,0.00017284642316638113
SEC11C,0.00017247584657525535
PPP3R1,0.00017215984290486983
MAPK9,0.0001705868893880196
NDUFA4,0.00016637212301755935
CKMT1A,0.00016441009590239736
ATP1A3,0.000163549818737235
RCAN2,0.00016304313006930418
SERPINA3,0.00016152503787270718
YWHAE,0.00015771887835347055
PPP3CA,0.00015566676793023107
UBL5,0.0001541554971223933
DNAJB2,0.00015123938120174972
MDH2,0.00014989262944699027
NDUFAB1,0.00014949168716677148
HIST1H4D,0.00014868823095897746
RTN3,0.0001469611340549265
PPA1,0.00014645251211689014
CCK,0.00014610509667190526
NKX6-2,0.0001431756090466862
NDUFB5,0.0001401970527313828
SLC25A12,0.0001395056134623962
APOL2,0.00013823895307725638
ARL6IP5,0.00013739381782565442
RPS17,0.00013679515760376087
HERC2P2,0.00013389829641593316
ACO2,0.00013357755020948142
OXCT1,0.00013003425691016568
LAMP2,0.00012887521762807537
C14orf156,0.0001268842728686123
UQCRH,0.00012548784489544603
FAM49A,0.00012408718143955304
TRIM2,0.00011533783140258871
SNORD15B,0.00011485836779409512
PLEKHH1,0.00011273905389977035
TMEM30A,0.0001096267235906711
CSRP1,0.00010797379038302343
DNAJC6,0.00010628105345416053
SEZ6L2,0.00010620003593434593
CTSD,0.00010520089977817251
C11orf9,0.000105020631022771
UQCRC2,0.00010057228246323708
PSMD14,9.793453010173654e-05
SYT4,9.748690956583568e-05
CCT4,9.203302429107886e-05
PCMT1,9.12519846667558e-05
DYNLL1,8.688694159478277e-05
AK5,8.621040376507423e-05
GNAS,8.552430295515526e-05
SLC8A1,8.507563626066436e-05
ATP6AP2,8.453599975471549e-05
NCDN,8.334959467039555e-05
SYN1,8.286015863846229e-05
NAPG,8.20598403803281e-05
SCARB2,8.186463759716947e-05
STIP1,8.130144531760554e-05
FAM49B,8.069453059229151e-05
RBX1,8.006839148414569e-05
RICS,7.941911018416798e-05
DCTN2,7.657370416249216e-05
SNORD115-40,7.635802922838577e-05
AGT,7.596851042461877e-05
REEP5,7.586251924545969e-05
MYO5A,7.57591810341668e-05
NDUFB9,7.340476222618048e-05
SLC9A6,7.328054490725172e-05
MT1E,6.765095864192881e-05
SNORA49,6.457646545801866e-05
CLASP2,6.457520030436177e-05
OAT,6.423260762576434e-05
TMEM14A,6.359689531084599e-05
PEA15,6.262887496831469e-05
PHLDB1,6.235347454059397e-05
UCHL1,6.059816637681385e-05
COX5A,6.0078104177457916e-05
VSNL1,5.659158635438708e-05
YWHAG,5.626460555017223e-05
INPP5F,5.4171204358831954e-05
G3BP2,5.375153767620153e-05
LMO3,5.3429199900980026e-05
COX7A2,5.274551454210126e-05
TSPYL1,5.205243598437579e-05
SYNJ1,4.849236092369282e-05
SPG3A,4.770640949153845e-05
PAFAH1B1,4.733680402347577e-05
AP2S1,4.636950725012632e-05
TMEM63A,4.5550070306275595e-05
ATP2B2,4.549388024379034e-05
SLAIN1,4.506902099398256e-05
NUPR1,4.483533417192575e-05
NPTN,4.3739281760085596e-05
GSTO1,4.361576335389958e-05
C1QB,4.317076609332594e-05
SEMA4D,4.1725452790699714e-05
CAP2,4.111906857505878e-05
RAB6B,3.98966453071376e-05
PAFAH1B2,3.983277570428985e-05
SERINC3,3.561029454183058e-05
PRNP,3.324702449633046e-05
DCLK1,3.279431962059966e-05
DIRAS2,2.841586086654604e-05
NDFIP2,2.8319997458824058e-05
SLC12A5,2.4617135302936503e-05
MLF2,2.4202376784312328e-05
GABRB2,2.4042408796781905e-05
FAIM2,2.3835442158295235e-05
CYFIP2,2.3721175445966768e-05
MLLT11,2.3089614337161077e-05
PMP2,1.841460501207433e-05
NDUFA2,1.7460293928896534e-05
PPP2CA,1.6518803544998193e-05
SNORD115-13,1.642860292400998e-05
THY1,1.5826612767596905e-05
CLSTN1,1.3791269664368027e-05
LMO4,1.2502393773169538e-05
SNCA,1.1693587717553972e-05
ZDHHC20,1.1330083443816621e-05
ATP6V1E1,9.38341859479757e-06
PLEKHG3,7.182958195060855e-06
MAP1A,7.160986382247951e-06
HIST1H4C,5.0062618976313e-06
CCDC144B,4.326285989997821e-06
HLA-DRA,3.4905057324876677e-06
NGRN,3.3797503717321718e-06
SOD1,2.430406581112357e-06
IFI44L,1.2868491064441817e-06
HPRT1,-9.169585064751404e-07
MAPK10,-1.9858596177838784e-06
GTF2I,-4.769044086412992e-06
MGST3,-4.915811387317963e-06
PRDX2,-6.804597599352154e-06
SPOCK2,-7.07288067636898e-06
PSMB7,-7.4482551508498015e-06
B3GNT1,-8.92391327876587e-06
OGFRL1,-1.0432032799031763e-05
NME1,-1.1782701438911303e-05
SNORA68,-1.1858324351862986e-05
WDR47,-1.2643220051999338e-05
SCARNA7,-1.3432243423398839e-05
IRF9,-1.3854730715302812e-05
TRIM37,-1.568966039866984e-05
PSME1,-1.7372676795684815e-05
PIP4K2A,-1.7846490757146145e-05
LMBRD1,-1.8274726053673016e-05
ATP9A,-1.854762409126261e-05
GSTM5,-1.8877210739597298e-05
FGF1,-1.9323740582190934e-05
NDUFS1,-2.0029847055275745e-05
DYNC1H1,-2.0307862018655147e-05
SCG5,-2.0505494527958542e-05
DBI,-2.083696556587306e-05
PCSK1N,-2.3465005874117422e-05
CLMN,-2.3640023297996454e-05
PRKCB,-2.3716524289317257e-05
PADI2,-2.504870814901286e-05
ENO2,-2.621664179682666e-05
PCTK3,-2.625925291842875e-05
IFI35,-2.6958399834272646e-05
EPHA4,-2.9388363939909056e-05
IFI30,-2.9681389681009285e-05
IFIT1,-3.0333159426713827e-05
FGF12,-3.054189233369259e-05
CADM2,-3.0816662431583794e-05
GDI1,-3.270609922516123e-05
SPARC,-3.3067691171675564e-05
IQSEC1,-3.361244007969055e-05
SNORA47,-3.384899450876561e-05
PREX1,-3.410737918326694e-05
SCOC,-3.4274484519947564e-05
STX1A,-3.506369638678724e-05
COX6A1,-3.6362657068733206e-05
GBP1,-3.642641442004273e-05
TMEM130,-3.6847501548337944e-05
PRDX6,-3.6975454494115206e-05
AATK,-3.99968304702904e-05
PTPLAD1,-4.2890736217971e-05
ATP5E,-4.410360467464496e-05
EPB41L3,-4.482489913293684e-05
LAP3,-4.485894156099028e-05
PLCB1,-4.503801732382485e-05
QKI,-4.632696828711694e-05
DNM1,-4.744426189191423e-05
UNC84B,-4.857843914692079e-05
C20orf116,-5.0099071576111556e-05
PNMAL1,-5.029513115599793e-05
C14orf2,-5.0928897118680176e-05
YWHAB,-5.2076627857545835e-05
FAM50A,-5.280390423236988e-05
TUBB2A,-5.340729413812365e-05
CACNA2D1,-5.5638524646190416e-05
TSPAN3,-5.589303352884343e-05
XRCC5,-5.5983529712911646e-05
C1orf128,-5.738510893188923e-05
GDA,-5.7652400463240574e-05
TM9SF2,-5.8439416063433795e-05
DNAJB1,-5.861906590699418e-05
CORO6,-6.111188471155013e-05
ATP6V1C1,-6.142813476735619e-05
RAB6A,-6.259071252761616e-05
DDX1,-6.282942460265648e-05
GRAMD3,-6.298916773806462e-05
A2BP1,-6.409846920142787e-05
NDUFS4,-6.41078424643861e-05
ITFG1,-6.41396713559424e-05
CACNA2D3,-6.41782293849069e-05
LRPPRC,-6.463654424125246e-05
DOCK10,-6.474718552566064e-05
CD22,-6.557645515712714e-05
PLXNB1,-6.585855296661292e-05
WARS,-6.659210967812622e-05
ATP5EP2,-6.711606859602509e-05
SV2A,-6.71628536508664e-05
NRBP2,-6.72602207367234e-05
SEMA3B,-6.745420740826117e-05
GUCY1B3,-6.765314303672625e-05
DCTN6,-6.953699706075291e-05
SNX10,-7.002878637419295e-05
AMPH,-7.01525078152521e-05
NELL2,-7.061543024672766e-05
MORF4L1,-7.165276982635834e-05
CAMK2B,-7.195809412548942e-05
SNORD115-26,-7.209996688078171e-05
CFL1,-7.219674221876412e-05
MX1,-7.240890730171136e-05
ACTN4,-7.355788958707478e-05
BASP1,-7.646484341868387e-05
USP54,-7.650179213935874e-05
ANXA6,-7.71028614940962e-05
MOAP1,-7.820100909935544e-05
SPRYD3,-8.016110800428914e-05
PLEKHB2,-8.218554250925928e-05
TUBB2B,-8.30435622196673e-05
HIST1H1C,-8.327520528025676e-05
RTN1,-8.404549769760921e-05
PILRB,-8.50978039009299e-05
CREG2,-8.635633126199509e-05
CACNA1B,-8.654201681952009e-05
UBE2L6,-8.692108706361092e-05
CXCL9,-8.704911418335286e-05
NAPA,-8.865337329802039e-05
AHCYL1,-8.876516181925589e-05
HSPA9,-8.935747070234969e-05
BST2,-8.950545792160205e-05
RARRES3,-8.963675593881142e-05
GABRA1,-8.965195811470277e-05
SFRS14,-9.265899596887692e-05
FLJ37078,-9.362544713498537e-05
SYN2,-9.379758719466619e-05
CACNA1A,-9.428704078046382e-05
SYT1,-9.505499727810396e-05
PACS2,-9.557446736867649e-05
ATP2A2,-9.578541765832574e-05
SORT1,-9.62859911097506e-05
GSTP1,-9.73109830504651e-05
ITPKB,-9.745948285378003e-05
OCIAD1,-9.88186138771592e-05
RGS11,-9.925529274060613e-05
SARS,-9.968301093068671e-05
C1QA,-0.00010038546797011572
MSRA,-0.00010194803991529417
EPHX1,-0.00010255897208541098
SNX3,-0.00010502144143188164
RAD21,-0.0001055652223608665
SLC3A1,-0.00010672697025347893
SLC38A2,-0.00011001936408875252
ATP6V1D,-0.00011239825073493038
YWHAQ,-0.00011484241672393763
AKAP8L,-0.00011543994950177757
WBP2,-0.00011611458768103942
EID1,-0.00011706007194868687
C1QC,-0.00011750295606345559
GNG3,-0.00011787897305579513
CHGA,-0.00011789864152063544
DLGAP1,-0.00011802872830345584
CDK5RAP3,-0.00011868347096430853
PPP2R1A,-0.00011959553389033022
PRDX5,-0.00011984815408828195
DNM1L,-0.00011985210324460037
CENTB5,-0.00012101054531695104
DYNC1I1,-0.00012132913239594073
VSIG4,-0.00012276981021694126
NDUFB2,-0.00012280575057304984
ITPR1,-0.00012299789027452
CAPRIN2,-0.00012310274479675917
NDFIP1,-0.00012326791213059532
SULT4A1,-0.00012415981492572663
RIMS3,-0.0001243585760551289
PSMD1,-0.00012591939787921845
HK1,-0.0001264582932386638
RFTN2,-0.00012676947390766988
STAT1,-0.00012697145869922354
KAT2A,-0.00012715800672452251
C21orf59,-0.00012721742705388469
VAMP2,-0.00012734769325136504
BAIAP3,-0.0001278160791034833
CD47,-0.00012863177976195155
PRKACB,-0.0001295424079412665
ACADVL,-0.00013026989733760187
NCKAP1,-0.00013068942436187905
AZIN1,-0.00013086183534873272
3-Sep,-0.00013109747377514127
SSBP1,-0.00013111534074499419
HSPC152,-0.00013267700825191834
KLC1,-0.00013284393961838253
GHITM,-0.00013405600873288474
ATP5H,-0.00013419187588601766
NDRG4,-0.00013444342835510634
GABRG2,-0.00013453028712399716
PSMA3,-0.000136241904672118
hCG_25371,-0.0001366526578169848
MAPK1,-0.00013845304918038697
RUFY3,-0.0001396136732854573
SKP1,-0.0001402415499001538
SLC22A17,-0.0001405572749670732
SV2B,-0.0001409721647177446
CTSB,-0.0001410022006590846
MYO18A,-0.00014193313014149265
SNORD116-23,-0.00014273218169418898
ITM2B,-0.00014306374316039728
PLEC1,-0.00014469835357820896
RPS8,-0.00014499535632499832
NXF1,-0.00014544742705540893
4-Sep,-0.00014766225783092933
WASF1,-0.00015046776175643622
SCAMP5,-0.00015121623351064577
CHI3L2,-0.00015134953938259068
ATP5J2,-0.00015135170460500722
SNORA48,-0.0001519548655512652
PRKAR1B,-0.00015219895057832751
SFRS16,-0.00015251164821664356
ATP6V1H,-0.00015460806199437804
CHCHD2,-0.00015653057147805294
LUC7L,-0.00015664700197029903
AKAP11,-0.00015781087500399085
GSN,-0.00015843117071004013
PPM2C,-0.00015913398908917886
ATP6V0A1,-0.00015970987429478895
RAB2A,-0.00015972177613904587
CCDC29,-0.0001597981706643471
INF2,-0.00015984425251101643
TXNDC13,-0.00016024024940133611
ATP1B2,-0.00016099602217219247
SGK1,-0.00016111925765396708
BRP44,-0.00016299929942311124
IFIT3,-0.00016326462872844752
MORF4L2,-0.0001632724148783024
PREPL,-0.00016475164128171464
RPS21,-0.0001661861591307613
SHANK3,-0.00016681478446179236
CCT2,-0.00016691172483813597
SLC4A10,-0.00016810689574010373
ZNF483,-0.00016941827218049647
PFN2,-0.00016959374308008816
GPI,-0.0001697631785552236
TMEM59L,-0.0001698711690018828
SH3GLB2,-0.00016989342596890404
BTF3,-0.00017144218548222135
MRVI1,-0.00017268891191930398
JAKMIP3,-0.00017308544807853962
GABARAPL2,-0.0001733380742921234
PFKM,-0.0001739274584594037
SNCG,-0.00017461619305925808
CAPZA2,-0.00017663991719511955
BLOC1S1,-0.00017683778271543316
DOCK5,-0.00017698806117367747
SNORA23,-0.00017778579292000108
TERF2IP,-0.00017809521391590652
SCARNA17,-0.00017945501073743142
ADAR,-0.00017986766656438125
PGRMC1,-0.0001812985706650002
BEX4,-0.00018182983255461888
COL9A2,-0.00018215105417764563
CTTN,-0.00018252752432209443
SNORD115-4,-0.00018427596438953713
LOC440353,-0.00018479797958008862
SNCB,-0.00018539614212284398
ANK2,-0.00018605444983916093
RBM19,-0.00018867533381604243
ATP2B1,-0.00019063804257570357
HLA-C,-0.00019085558574088212
CAMK2N1,-0.00019098401735634913
MYO9B,-0.00019175632074586835
ATP6V1A,-0.00019206415407627977
TXN,-0.00019214295481383392
SVIP,-0.00019288814739302473
SERPING1,-0.00019357789293998092
NEDD8,-0.00019417761017882898
WNK1,-0.00019538839348365956
NARS,-0.00019548757432738962
NECAB1,-0.00019557449698271608
CLTC,-0.00019647374038376896
PRPF3,-0.00019735583100879468
EIF1,-0.00019762613726917837
CYTH1,-0.00019811349404812842
TMEM165,-0.00019819520874866754
LDHB,-0.00019939812399215407
NBPF16,-0.00020309765736941334
ARHGDIG,-0.0002041499583610564
KALRN,-0.00020441959772787266
CDK5RAP2,-0.00020503511462468258
PINK1,-0.00020591434280909122
FLJ37464,-0.00020591992479487397
PTPRN,-0.00020630439343718543
PGK1,-0.0002063119188695335
ACSL3,-0.00020666653577833068
CD81,-0.00020711861522424132
PMS2L1,-0.00020799128763382722
PNMA2,-0.0002080525372190809
SLC25A3,-0.00020860923219180884
STAT2,-0.00020875468333361928
HPCA,-0.0002088923339897532
NECAP1,-0.0002089173030070392
TTLL3,-0.00021064972573912015
HNRNPK,-0.0002127756274279051
ATP5A1,-0.0002130203777609838
MYCBP2,-0.00021410135278557177
ISG15,-0.00021419447800973505
CHD5,-0.00021426560684152164
EIF3K,-0.0002154066699030212
HPCAL4,-0.00021660399301970666
C16orf45,-0.00021739554253584863
WSB2,-0.00021744470048297998
NCALD,-0.0002176394515939348
USF2,-0.00021815044458353797
GAS7,-0.00021848780796175022
THOC1,-0.00021929150678655712
IFI27,-0.00021999441165536986
PPP1CB,-0.00022054452763208473
TOMM20,-0.00022173525368264656
ATP6V1F,-0.0002223845211562565
SBF1,-0.00022284473525981143
NDUFA13,-0.00022306455524344213
GNB1,-0.00022453613013771157
GABARAPL1,-0.00022468278994354878
B3GAT1,-0.0002249195999468423
MLL3,-0.0002250533095091596
BAT2D1,-0.0002255138257661016
GAD1,-0.00022551401543268663
PKM2,-0.00022573413444371682
SPCS3,-0.0002271534056162589
PLK2,-0.00022767153197040667
STMN3,-0.00022831468110440353
C17orf45,-0.00022862389505987678
C12orf57,-0.00023006125915765247
USP11,-0.0002306259553044063
ANXA5,-0.0002316108600049809
PKP4,-0.00023228183938021844
TARBP1,-0.00023291707564666742
DMTF1,-0.00023295133171531249
LRP4,-0.0002340149987175581
EIF3M,-0.00023448463107727851
TCERG1,-0.00023451073907281884
PAK1,-0.0002346665000619511
